,Compound,Comments,Company
100,-0.3182,UPDATE 2-Facebook-backed group launches misinformation adjudication panel in Australia,GOOG
101,-0.1531,"Dow Jones Futures: Market Rally Is At Inflection Point, What To Do Now; Tesla FSD Beta Rollout Looms",GOOG
102,0.6369,These Are The Best Robinhood Stocks To Buy Or Watch Now,GOOG
103,-0.3182,Facebook-backed group launches misinformation adjudication panel in Australia,GOOG
104,-0.3182,Facebook-backed group launches misinformation adjudication panel in Australia,GOOG
105,-0.1027,Should Google Pay a Stock Dividend?,GOOG
106,0.0,How global deal stems corporate use of tax havens,GOOG
107,0.0,"Where to Invest $5,000 Right Now",GOOG
108,0.4767,Google Is (Still) Pioneering Artificial Intelligence,GOOG
109,0.0,Apple's App Store Empire Is Finally Starting to Crack,GOOG
110,0.0,Is Outbrain Stock a Buy?,GOOG
111,-0.1779,3 Surefire Stocks to Buy If There's a Stock Market Crash,GOOG
112,-0.296,UK contactless payments limit is rising to £100  should you be worried?,GOOG
113,0.0,Google Tests Ways to Showcase Breaking News in Twitter-Like Move,GOOG
114,0.6369,New Buys By The Best Mutual Funds: GOOGL Stock Leads List As Market Corrects,GOOG
115,0.0772,This nearly $40 billion tech company has unleashed a secret weapon to attract workers,GOOG
116,-0.6486,Google to block ads from appearing next to content denying climate change,GOOG
117,0.0,Google At 50-Day Line,GOOG
118,0.4939,"Ireland joins global tax agreement, Googles cracks down on climate change denial, Sen. Lummis investment in crypto",GOOG
119,0.0,Microsoft Windows 11: What Investors Need to Know,GOOG
120,0.0,Why Is Everyone Talking About Palantir Stock?,GOOG
121,0.0,Biotricity Launches Biocare Cardiac Application for Samsung's Galaxy Watch4 Series,GOOG
122,0.2023,Dow Jones Futures: Treasury Yields Rise Ahead Of Key Jobs Report For Market Rally,GOOG
123,0.1779,Google Goes Tougher On Climate Change Policies,GOOG
124,-0.34,Google Bars Ads for Content Denying Climate Change,GOOG
125,-0.3182,Apple Stock Could Struggle. This Analyst Explains Why.,GOOG
126,0.0,What concerns Michael Dell the most about A.I.,GOOG
127,0.0,3 Stock Market Myths That Cost Investors,GOOG
128,0.0,7 Oil and Gas Stocks to Buy According to Billionaire Leon Cooperman,GOOG
129,0.2023,George Soros Stock Portfolio: Top 10 Stock Picks,GOOG
130,0.0,"Carvana and Vroom Still Have Room to Drive, According to Internet Traffic",GOOG
131,-0.7184,"Google, YouTube Ban Ads on Content Denying Climate Change Science",GOOG
132,-0.3612,Dow Jones Futures: Jobs Report Key For Market Rally As Leaders Flash Buy Signals; Senate OKs Debt Limit Hike,GOOG
133,0.0,Lasertec Gets First Next-Gen Gear Orders From Memory Makers,GOOG
134,-0.6486,Google to Block Ads From Appearing Next to Content Denying Climate Change,GOOG
135,0.0,Microsoft Will Allow More Repair Shops After Activist Protests,GOOG
136,-0.34,"Google Wont Fund Sites, YouTube Videos That Deny Climate Change",GOOG
137,0.0,Read Why Oppenheimer Bumped Up AppLovin Price Target By 27%,GOOG
138,-0.0258,"Apple Shares Will Struggle To Rally From Here, Bernstein Analyst Cautions",GOOG
139,0.0,How social media is changing the stock market,GOOG
140,0.6652,Google Flights lets travelers see their carbon footprint  but can you trust it?,GOOG
141,0.6486,"President Biden And The FTC Push For Antitrust Enforcement  Take On Amazon, Google And The Supreme Court",GOOG
142,0.0,"Microsoft, Alphabet stocks rise back above 50-day moving averages",GOOG
143,0.0,"Apples Plan for Cars: Using iPhone to Control A/C, Seats, Radio and More",GOOG
144,0.4754,"Bings most popular search word is Google, says Google",GOOG
145,0.296,Why Vinco Ventures Shares Are Surging Higher Today,GOOG
146,0.0,Why Marqeta Sank 23.8% in September,GOOG
147,0.0,The U.S.-China relationship is a little bit frosty: Michael Dell,GOOG
148,0.0,Influencers with Andy Serwer: Michael Dell,GOOG
149,0.5267,14 best tech gifts to spoil a gadget geek this Christmas,GOOG
150,0.0772,Google rivals want EU lawmakers to act via new tech rules,GOOG
151,0.0772,Google rivals want EU lawmakers to act via new tech rules,GOOG
152,0.7096,UPDATE 1-U.S. Justice Dept antitrust nominee says he is eager to tackle more than just Big Tech,GOOG
153,0.0,Does the Return of Old School Marketing Make This Ad-Tech Alternative Bigger than Blockchain?,GOOG
154,0.0,Microsoft Stands Out In Enterprise Tech Spending Survey,GOOG
155,0.1779,Amazons Twitch Hack Shows Top Gamers Rake In Six-Figure Payouts,GOOG
156,0.7096,U.S. Justice Dept antitrust nominee says he is eager to tackle more than just Big Tech,GOOG
157,0.7096,U.S. Justice antitrust nominee says eager to tackle more than just Big Tech,GOOG
158,0.4767,Retail traders follow Nancy Pelosi's husband's stock moves to find winners,GOOG
159,0.0,The Prius-Hacking Silicon Valley Star Shaping Toyotas Future,GOOG
160,0.0,UPDATE 1-Google to invest $1 billion in Africa over five years,GOOG
161,0.0,"Biden meets with bank CEOs, Googles new eco-friendly feature, Walmart teams up with Home Depot for delivery",GOOG
162,-0.5574,Billionaire Rob Citrone is Selling These 10 Stocks,GOOG
163,-0.34,"FB Stock A Buy? Facebook's Zuckerberg Under Fire, Calls For Regulation",GOOG
164,0.0,Google Outlines Digital Transformation Plans In Africa,GOOG
165,0.4019,Mall Retailers Get Boost from Alphabet Drones Delivering Sushi,GOOG
166,0.0,"Dow Jones Futures Tumble: Look For This Market Rally Signal; Google, Datadog Lead 9 Stocks To Watch",GOOG
167,0.1779,Amazon Throws Down the Gauntlet at These 5 Companies,GOOG
168,-0.1027,Fake reviews infiltrate Facebook to boost ratings,GOOG
169,0.0,Google to invest $1 billion in Africa over five years,GOOG
170,0.0,Google to invest $1 billion in Africa over five years,GOOG
171,0.0,10 Small-Cap Stocks to Buy According to Australias Warren Buffett Kerr Neilson,GOOG
172,0.0,Michael Dell learned these lessons from Steve Jobs and Bill Gates,GOOG
173,0.4576,Google wants to use AI to time traffic lights more efficiently,GOOG
174,0.0,Google Flights Adds Carbon Emission Estimates to Search,GOOG
175,0.34,France's Thales partners with Google on secure cloud services,GOOG
176,0.1027,Top Antitrust Cop Steers Korea Away From Hard Tech Crackdown,GOOG
177,0.0,"YouTube Removes R. Kellys Channels, But Still Offers His Songs",GOOG
178,-0.3612,Google's DeepMind Artificial Intelligence Unit Is No Longer a Money Loser,GOOG
179,0.0,Facebook (FB) Whistleblower Testifies Before US Senate,GOOG
180,0.4215,Big Tech Rebounds as Bulls See Buying Opportunity in Selloff,GOOG
181,0.3818,Sell Or Hold? NVDA Stock Shows How To Handle Growth Stocks In A Stock Market Correction,GOOG
182,-0.34,How Downdetector Has Become Go-To Site for Online Disruptions,GOOG
183,0.296,Why Google Shares Are Rising,GOOG
184,-0.4404,"Scared of Facebook whistleblower fallout? Look at these tech stocks, analyst says",GOOG
185,0.0,"FAANGs bounce back, Pepsi raises its full-year forecast",GOOG
186,0.0,EU lawmaker says U.S. tech giants should be regulated where they are based,GOOG
187,-0.6486,Google Pixel 6 release date revealed for iPhone killer,GOOG
188,0.0,These 2 Stocks Are Powering the Market Higher on Tuesday,GOOG
189,0.0,EU lawmaker says U.S. tech giants should be regulated where they are based,GOOG
190,0.0,Why These 10 Stocks Are in the Spotlight on Tuesday,GOOG
191,-0.3182,"Tech Stocks Roundup: Facebook Shutdown, Whistleblower Accusations",GOOG
192,0.0,Ex-Google Engineer Builds Unicorn at Tiger Global-Backed Firm,GOOG
193,0.0,Alphabet's (GOOGL) YouTube Music to Roll Out New Features,GOOG
194,0.2023,George Soros Stock Portfolio: Top 10 Large-Cap Stock Picks,GOOG
195,0.8056,Best password managers: Secure your accounts and never forget your login details again,GOOG
196,0.4939,Abbott is first health care company to keynote at CES,GOOG
197,0.2755,Facebook isn't tobacco; that's ridiculous: analyst,GOOG
198,0.0,"Facebook whistleblower testifies before Congress, outage affects billions worldwide",GOOG
199,0.0,How the FAANG stocks recovery proves the resilience of tech,GOOG
200,-0.3182,UPDATE 2-Facebook-backed group launches misinformation adjudication panel in Australia,FB
201,0.3612,Which Social-Media Networks Do Teens Like the Most? Not Facebook and Twitter.,FB
202,-0.3182,Facebook-backed group launches misinformation adjudication panel in Australia,FB
203,-0.3182,Facebook-backed group launches misinformation adjudication panel in Australia,FB
204,0.0,"Social Media Companies Should Be Accountable For Policies, Facebook Exec Says",FB
