,text,favourite_count,retweet_count,created_at
0,"RT @armyspoke_news: https://t.co/e7SMFWt5bY

🚍RTA has transported 13,227 cases of COVID-19 patients and the deceased in the Bangkok Metropo…",0,334,2021-08-02 23:59:59
1,"Increasing cases of coronavirus in children are to be expected as the number of people testing positive for COVID-19 increases, a university panel of discussion heard.

https://t.co/4IPkokkL0n 

#Fiji #FijiNews",0,0,2021-08-02 23:59:59
2,New Podcast: U.S. airlines are maintaining their bullish recovery outlooks even as Covid-19 Delta variant cases jump and mask requirements make a comeback. Is this really realistic? https://t.co/1anjUsfMK5,0,0,2021-08-02 23:59:59
3,"RT @Reuters: Republican Senator Lindsey Graham announced that he has tested positive for COVID-19 despite being vaccinated, saying that he…",0,42,2021-08-02 23:59:59
4,RT @ChuckCallesto: BREAKING REPORT:  74% of Covid-19 Cases in “Cape Cod Cluster Outbreak” Were Fully Vaccinated...,0,2700,2021-08-02 23:59:59
5,Lindsey Graham tests positive for the coronavirus after meeting senators without masks https://t.co/vGLkrouBMT,0,0,2021-08-02 23:59:59
6,"RT @SethAbramson: BUSINESS INSIDER: Senator Ron Johnson (R-WI) Would Support Vaccine Mandate for An ""Incredibly Deadly"" Virus—But Not COVID…",0,514,2021-08-02 23:59:59
7,"RT @AnaCabrera: NEW: Kaiser Permanente, one of the nation’s largest health care providers, will require all of its physicians and employees…",0,3885,2021-08-02 23:59:58
8,Lindsey Graham tests positive for COVID-19 https://t.co/L4HD1ILwBO,0,0,2021-08-02 23:59:58
9,"RT @seanparnell: #update Qld is reporting 16 new community-acquired cases of COVID-19, all linked to existing cluster and numerous schools.…",0,14,2021-08-02 23:59:58
10,"RT @eileeniorio: 🚨CDC ADMITS mRNA-BASED COVID-19 VACCINES CAUSE MYOCARDITIS in 12-17 yos🚨

But SAEs are dismissed by those who use 9m vaxed…",0,482,2021-08-02 23:59:58
11,"@JakeLobin I don’t know- given COVID-19, the original name may fit better",1,0,2021-08-02 23:59:58
12,RT @joncoopertweets: U.S. finally reaches milestone set by President Biden of 70% of adults with at least one COVID-19 shot https://t.co/Ol…,0,112,2021-08-02 23:59:58
13,@NicholasFiumar1 @BBCBreaking @cnnbrk @WNYC @NPRHealth @CBSNews @CBSPhilly @CBSLA @CalSunday @CDC_eHealth @CDCemergency @CDCgov @CDCFlu @NewYorkStateAG @BarackObama @VP @congressdotgov Great! https://t.co/k3O0ZUHzkX hopefully fda approves it! Good luck,0,0,2021-08-02 23:59:58
14,"RT @CNNPolitics: Top RNC official in Florida spreads Covid-19 conspiracies, calling vaccines the ""mark of the beast"" https://t.co/1RO8O4PyBA",0,390,2021-08-02 23:59:57
15,RT @ChuckCallesto: BREAKING REPORT:  74% of Covid-19 Cases in “Cape Cod Cluster Outbreak” Were Fully Vaccinated...,0,2700,2021-08-02 23:59:57
16,"Vaccinated #Canadians who wish to travel:

Are you worried your COVID-19 vaccine won't be accepted abroad? 

as of posting, @GovCanHealth says: 
""Canadians are reminded to avoid non-essential travel outside of Canada” 

https://t.co/fE8joFOCfp

by @sophiaharrisCBC for @CBCNews",0,0,2021-08-02 23:59:57
17,RT @ChuckCallesto: BREAKING REPORT:  74% of Covid-19 Cases in “Cape Cod Cluster Outbreak” Were Fully Vaccinated...,0,2700,2021-08-02 23:59:57
18,RT @BNODesk: NEW: Germany to offer third dose of COVID-19 vaccine to high-risk groups,0,609,2021-08-02 23:59:57
19,"RT @myfriendLiz: @TweetsPamela @davegreenidge57 @GovRonDeSantis The data referred to in this EO are all from the wild type, including: 
""Wh…",0,1,2021-08-02 23:59:57
20,"2/2 Among initial steps, the @CDC recommends that a person who is fully vaccinated and exposed to COVID-19, get tested w/in three to five days after exposure, even if the person isn't experiencing symptoms. 

#StopTheSpread #InItTogether #CovidPrecautions

https://t.co/fFvKVmrklo https://t.co/0SgryWAFtw",4,0,2021-08-02 23:59:56
21,Important thread with compilation of local news reporting on how Covid-19 affected pregnant women In Indonesia since 2020. https://t.co/L3HyRCDekO,30,14,2021-08-02 23:59:56
22,"RT @hkfp: [Recap] Covid-19: Gov’t extends vaccination order for more groups of workers despite 56-day streak of zero local cases

https://t…",0,9,2021-08-02 23:59:56
23,"RT @AnaCabrera: NEW: Kaiser Permanente, one of the nation’s largest health care providers, will require all of its physicians and employees…",0,3885,2021-08-02 23:59:56
24,"RT @GeenaJagger: American College of Obstetricians &amp;Gynecology, and the Society of Maternal Fetal Medicine now recommend pregnant women rec…",0,16,2021-08-02 23:59:56
25,RT @gemdrgn1: Kaiser Permanente mandating COVID-19 vaccine for employees and physicians https://t.co/J1s1uVYV0I via @abc7,0,1,2021-08-02 23:59:55
26,"RT @AnaCabrera: NEW: Kaiser Permanente, one of the nation’s largest health care providers, will require all of its physicians and employees…",0,3885,2021-08-02 23:59:55
27,"RT @lizlibra1009: Hey @RonDeSantisFL there’s 9 new COVID-19 admissions on the Pediatric unit I’m working at today! But, tell me how you wan…",0,872,2021-08-02 23:59:55
